location.x,location.y,scaling,size.x,size.y,request.location.x,request.location.y,request.level,request.size.x,request.size.y,native.fractional_coordinates.x,native.fractional_coordinates.y,native.native_size.x,native.native_size.y
10240,256,0.2495,256,256,41025,1008,1,266,267,4.270912316536851,4.5128889322411965,256.50523238315725,256.50523238315725
10496,256,0.2495,256,256,42049,1008,1,267,267,4.783922781301953,4.5128889322411965,256.50523238315725,256.50523238315725
10752,256,0.2495,256,256,43077,1008,1,266,267,4.296963629200036,4.5128889322411965,256.50523238315725,256.50523238315725
11008,256,0.2495,256,256,44101,1008,1,267,267,4.809974093965138,4.5128889322411965,256.50523238315725,256.50523238315725
0,512,0.2495,256,256,0,2036,1,261,266,0.0,4.025929780138824,256.50523238315725,256.50523238315725
256,512,0.2495,256,256,1008,2036,1,267,266,4.5128889322411965,4.025929780138824,256.50523238315725,256.50523238315725
512,512,0.2495,256,256,2036,2036,1,266,266,4.025929780138824,4.025929780138824,256.50523238315725,256.50523238315725
768,512,0.2495,256,256,3060,2036,1,267,266,4.538940244905007,4.025929780138824,256.50523238315725,256.50523238315725
1024,512,0.2495,256,256,4088,2036,1,266,266,4.051981092802748,4.025929780138824,256.50523238315725,256.50523238315725
1280,512,0.2495,256,256,5112,2036,1,267,266,4.564991557569101,4.025929780138824,256.50523238315725,256.50523238315725
1536,512,0.2495,256,256,6140,2036,1,266,266,4.078032405466502,4.025929780138824,256.50523238315725,256.50523238315725
1792,512,0.2495,256,256,7164,2036,1,267,266,4.591042870232968,4.025929780138824,256.50523238315725,256.50523238315725
2048,512,0.2495,256,256,8192,2036,1,266,266,4.104083718130596,4.025929780138824,256.50523238315725,256.50523238315725
2304,512,0.2495,256,256,9216,2036,1,267,266,4.617094182896835,4.025929780138824,256.50523238315725,256.50523238315725
2560,512,0.2495,256,256,10244,2036,1,266,266,4.130135030794463,4.025929780138824,256.50523238315725,256.50523238315725
2816,512,0.2495,256,256,11268,2036,1,267,266,4.64314549556093,4.025929780138824,256.50523238315725,256.50523238315725
3072,512,0.2495,256,256,12296,2036,1,266,266,4.156186343458103,4.025929780138824,256.50523238315725,256.50523238315725
3328,512,0.2495,256,256,13320,2036,1,267,266,4.669196808224569,4.025929780138824,256.50523238315725,256.50523238315725
3584,512,0.2495,256,256,14348,2036,1,266,266,4.182237656122197,4.025929780138824,256.50523238315725,256.50523238315725
3840,512,0.2495,256,256,15372,2036,1,267,266,4.695248120888209,4.025929780138824,256.50523238315725,256.50523238315725
4096,512,0.2495,256,256,16400,2036,1,266,266,4.208288968786292,4.025929780138824,256.50523238315725,256.50523238315725
4352,512,0.2495,256,256,17424,2036,1,267,266,4.7212994335523035,4.025929780138824,256.50523238315725,256.50523238315725
4608,512,0.2495,256,256,18452,2036,1,266,266,4.234340281449477,4.025929780138824,256.50523238315725,256.50523238315725
4864,512,0.2495,256,256,19476,2036,1,267,266,4.747350746216398,4.025929780138824,256.50523238315725,256.50523238315725
5120,512,0.2495,256,256,20504,2036,1,266,266,4.260391594113571,4.025929780138824,256.50523238315725,256.50523238315725
5376,512,0.2495,256,256,21528,2036,1,267,266,4.773402058879583,4.025929780138824,256.50523238315725,256.50523238315725
5632,512,0.2495,256,256,22556,2036,1,266,266,4.286442906778575,4.025929780138824,256.50523238315725,256.50523238315725
5888,512,0.2495,256,256,23580,2036,1,267,266,4.799453371544587,4.025929780138824,256.50523238315725,256.50523238315725
6144,512,0.2495,256,256,24608,2036,1,266,266,4.31249421944176,4.025929780138824,256.50523238315725,256.50523238315725
6400,512,0.2495,256,256,25632,2036,1,267,266,4.825504684208681,4.025929780138824,256.50523238315725,256.50523238315725
6656,512,0.2495,256,256,26660,2036,1,266,266,4.338545532105854,4.025929780138824,256.50523238315725,256.50523238315725
6912,512,0.2495,256,256,27684,2036,1,267,266,4.851555996871866,4.025929780138824,256.50523238315725,256.50523238315725
7168,512,0.2495,256,256,28712,2036,1,266,266,4.364596844769949,4.025929780138824,256.50523238315725,256.50523238315725
7424,512,0.2495,256,256,29736,2036,1,267,266,4.877607309535961,4.025929780138824,256.50523238315725,256.50523238315725
